CUST_ID,REGISTRATION_ID,AGE,GENDER,MARITAL_STATUS,PROFESSION,EDUCATION,INCOME,MEMBERS_IN_HOUSEHOLD,PRODUCT_BROWSED_TOTAL,PRODUCT_BROWSED_AVERAGE,PRODUCT_PURCHASED_TOTAL,PRODUCT_PURCHASED_AVERAGE,ITEMS_PLACED_IN_CART_TOTAL,ITEMS_PLACED_IN_CART_AVERAGE,ONSITE_SEARCHES_TOTAL,ONSITE_SEARCHES_AVERAGE,PAGE_VIEWS_TOTAL,PAGE_VIEWS_AVERAGE,AMOUNT_BROWSED_TOTAL,AMOUNT_BROWSED_AVERAGE,AMOUNT_CARTED_TOTAL,AMOUNT_CARTED_AVERAGE,AMOUNT_PURCHASED_TOTAL,AMOUNT_PURCHASED_AVERAGE,AMOUNT_ABANDONED_TOTAL,AMOUNT_ABANDONED_AVERAGE,NUMBER_OF_ACTIVITIES_TOTAL,NUMBER_OF_ACTIVITIES_AVERAGE,NUMBER_OF_SESSIONS,COOKIE_ID,PCI_BUYER_CATEGORY,PCI_LTV,PCI_DEMOGRAPHIC_CLUSTER,PCI_ONLINE_BEHAVIOR_CLUSTER,PCI_BUYING_BEHAVIOR_CLUSTER,,,PCI_PRODUCT_PURCHASE_AFFINITY,PCI_PRODUCT_BROWSE_AFFINITY,PCI_NEXT_BEST_OFFER1,PCI_NEXT_BEST_OFFER2,PCI_NEXT_BEST_OFFER3,PCI_TOP_PRODUCT1,PCI_TOP_PRODUCT2,PCI_TOP_PRODUCT3
324,EMMA.ANDERSON,75,F,S,Private Sector,High School,43340,1,97,0.243719,0,0,0,0,46,0.115578,1142,2.869347,65635,164.91206,0,0,0,0,0,0,2211,5.555276,398,9.35E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,4,9,10,6200,6204,6209
325,GEORGE.CORTEZ,40,F,M,Not employed,College,48301,2,4,0.8,3,0.6,3,0.6,2,0.4,32,6.4,2146,429.2,1897,379.4,1897,379.4,1897,379.4,66,13.2,5,4.98E+21,Repeat Buyer,HIGH VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Beauty,4,5,9,3211,3213,6178
326,GEORGE.LARTER,51,F,M,Accountant,Post College,65863,3,7,0.777778,0,0,0,0,3,0.333333,31,3.444444,2403,267,0,0,0,0,0,0,63,7,9,7.66E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,5,9,3211,3213,6178
327,GREGORY.BAUER,30,F,U,Self Employed,High School,36724,1,12,1.714286,0,0,7,1,2,0.285714,79,11.285714,5398,771.142857,3023,431.857143,0,0,3023,431.857143,164,23.428571,7,7.66E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,2,3,1,3199,3194,3188
328,GREGORY.BRINK,30,F,S,Self Employed,High School,26487,1,14,0.777778,0,0,2,0.111111,10,0.555556,105,5.833333,7021,390.055556,998,55.444444,0,0,998,55.444444,226,12.555556,18,7.66E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Home goods,Athletic Shoes,7,9,10,6200,6204,6209
329,GREGORY.HOUSE,33,F,M,Lawyer,Post College,63766,4,14,0.777778,0,0,2,0.111111,10,0.555556,105,5.833333,7017,389.833333,698,38.777778,0,0,698,38.777778,226,12.555556,18,7.66E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,9,10,3211,3213,6178
330,GREGORY.KODJO,44,F,M,Self Employed,College,80937,4,18,0.692308,0,0,4,0.153846,5,0.192308,136,5.230769,12812,492.769231,3046,117.153846,0,0,3046,117.153846,279,10.730769,26,9.67E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,VISITOR,ONLINE HIGH VALUE OFFER SEEKER,,,Women's Career,Women's Sportwear,4,9,10,3211,3213,6178
331,GREGORY.READY,29,M,S,Engineer,College,54910,1,9,0.692308,0,0,0,0,3,0.230769,66,5.076923,3771,290.076923,0,0,0,0,0,0,145,11.153846,13,9.67E+22,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Shoes,Accessories,4,5,9,3199,3194,3188
332,HARVEY.CORTEZ,25,M,S,Self Employed,Post College,40681,1,3,0.75,0,0,0,0,0,0,10,2.5,1177,294.25,0,0,0,0,0,0,15,3.75,4,6.31E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Men's Casual,Furniture,4,5,9,6200,6204,6209
333,HARVEY.LARTER,25,M,S,Unemployed,High School,22647,1,11,0.578947,0,0,1,0.052632,6,0.315789,71,3.736842,7724,406.526316,1299,68.368421,0,0,1299,68.368421,134,7.052632,19,6.31E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Shoes,Beauty,2,3,1,3211,3213,6178
334,HELENA.KLOVES,25,F,U,Engineer,Post College,62660,2,8,0.888889,0,0,0,0,3,0.333333,46,5.111111,4377,486.333333,0,0,0,0,0,0,93,10.333333,9,6.31E+22,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,7,9,10,3211,3213,6178
335,HELENA.WILSON,40,F,M,Financial analyst,College,48953,4,1,0.333333,0,0,0,0,1,0.333333,9,3,449,149.666667,0,0,0,0,0,0,21,7,3,2.40E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,4,9,10,3199,3194,3188
336,JACOB.HILLORY,42,F,M,Unemployed,High School,29583,2,4,0.571429,0,0,0,0,2,0.285714,23,3.285714,2446,349.428571,0,0,0,0,0,0,49,7,7,2.40E+22,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Home goods,Athletic Shoes,4,9,10,6200,6204,6209
337,JACOB.JACKSON,52,F,M,Doctor,Post College,107318,5,25,0.892857,0,0,0,0,7,0.25,129,4.607143,10480,374.285714,0,0,0,0,0,0,272,9.714286,28,2.40E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,5,9,3211,3213,6178
338,JESSICA.HOUSE,40,M,S,Not employed,College,33070,1,2,0.5,1,0.25,1,0.25,2,0.5,28,7,1398,349.5,899,224.75,899,224.75,899,224.75,56,14,4,2.40E+22,Buyer,HIGH VALUE,HIGH INCOME SINGLE,REPEAT BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Career,Women's Sportwear,4,5,9,3211,3213,6178
339,JESSICA.KODJO,46,F,M,Professor,College,57398,5,56,7,7,0.875,15,1.875,30,3.75,572,71.5,34944,4368,10886,1360.75,4193,524.125,10886,1360.75,1096,137,8,2.40E+22,Repeat Buyer,MEDIUM VALUE,MARRIED WOMEN,REPEAT BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Accessories,2,3,1,3199,3194,3188
340,JESSICA.READY,40,M,S,Self Employed,Post College,88616,1,1,0.25,0,0,0,0,0,0,5,1.25,449,112.25,0,0,0,0,0,0,8,2,4,5.54E+22,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Men's Casual,Furniture,7,9,10,6200,6204,6209
341,KEITH.JACKSON,33,F,U,Engineer,College,31877,1,22,1,0,0,6,0.272727,7,0.318182,139,6.318182,10748,488.545455,2754,125.181818,0,0,2754,125.181818,298,13.545455,22,5.54E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Beauty,4,9,10,3211,3213,6178
342,MICHAEL.BAUER,56,F,M,Engineer,College,63532,2,13,0.565217,0,0,1,0.043478,7,0.304348,116,5.043478,7687,334.217391,449,19.521739,0,0,449,19.521739,226,9.826087,23,5.54E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,9,10,3211,3213,6178
343,MICHAEL.BRINK,29,F,U,Professor,Post College,39694,1,12,0.5,0,0,0,0,14,0.583333,97,4.041667,5708,237.833333,0,0,0,0,0,0,185,7.708333,24,5.54E+22,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Men's Career,Formal Shoes,4,5,9,3199,3194,3188
344,MICHAEL.HOUSE,29,M,S,Private Sector,High School,34465,1,32,1.066667,0,0,8,0.266667,6,0.2,169,5.633333,15758,525.266667,5272,175.733333,0,0,5272,175.733333,353,11.766667,30,5.54E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Home goods,Athletic Shoes,4,5,9,6200,6204,6209
345,MICHAEL.READY,26,F,S,Nursing,Post College,58761,1,19,0.95,0,0,2,0.1,1,0.05,113,5.65,6331,316.55,358,17.9,0,0,358,17.9,233,11.65,20,4.26E+22,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,2,3,1,3211,3213,6178
346,MILA.ANDERSON,45,M,M,Doctor,College,69307,5,1,0.2,0,0,0,0,0,0,12,2.4,299,59.8,0,0,0,0,0,0,21,4.2,5,4.26E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Career,Women's Sportwear,7,9,10,3211,3213,6178
347,ROBERT.LARTER,42,M,S,Private Sector,High School,22340,1,2,0.285714,0,0,0,0,0,0,20,2.857143,1378,196.857143,0,0,0,0,0,0,40,5.714286,7,4.26E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Accessories,4,9,10,3199,3194,3188
348,STEVEN.CORTEZ,45,M,M,Engineer,College,74034,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,2,4.26E+22,Visitor,MEDIUM VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,,,Men's Casual,Furniture,4,9,10,6200,6204,6209
349,STUART.WILSON,25,M,S,Professor,College,23538,1,2,0.333333,0,0,0,0,0,0,22,3.666667,678,113,0,0,0,0,0,0,46,7.666667,6,4.26E+22,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Beauty,4,5,9,3211,3213,6178
350,TREVOR.CORTEZ,53,F,M,Private Sector,High School,47586,2,13,0.866667,0,0,3,0.2,4,0.266667,96,6.4,5697,379.8,1427,95.133333,0,0,1427,95.133333,192,12.8,15,4.26E+22,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,VISITOR,ONLINE HIGH VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,5,9,3211,3213,6178
351,TREVOR.KLOVES,34,F,U,Engineer,Post College,54431,2,4,0.5,0,0,0,0,3,0.375,37,4.625,2481,310.125,0,0,0,0,0,0,82,10.25,8,4.26E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,2,3,1,3199,3194,3188
352,WILLIAM.BAUER,38,M,M,Nursing,Post College,72504,3,3,0.6,2,0.4,2,0.4,3,0.6,69,13.8,1027,205.4,728,145.6,728,145.6,728,145.6,135,27,5,4.26E+22,Repeat Buyer,LOW VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE LOW VALUE NON OFFER SEEKER,,,Home goods,Athletic Shoes,7,9,10,6200,6204,6209
353,WILLIAM.BRINK,25,M,U,Financial analyst,College,58376,1,7,1,0,0,2,0.285714,4,0.571429,44,6.285714,4123,589,658,94,0,0,658,94,82,11.714286,7,2.22E+22,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,9,10,3211,3213,6178
354,WILLIAM.HOUSE,51,F,M,Lawyer,College,72626,3,11,1.571429,0,0,2,0.285714,3,0.428571,51,7.285714,4916,702.285714,408,58.285714,0,0,408,58.285714,113,16.142857,7,2.22E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Career,Women's Sportwear,4,9,10,3211,3213,6178
355,ADRIAN.JACKSON,41,F,M,Engineer,College,34201,4,11,0.647059,0,0,0,0,8,0.470588,102,6,5451,320.647059,0,0,0,0,0,0,200,11.764706,17,9.44E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Women's Shoes,Accessories,4,5,9,3199,3194,3188
356,ANASTASIA.ALBA,36,F,S,Self Employed,College,31924,1,51,1.133333,0,0,15,0.333333,9,0.2,332,7.377778,30184,670.755556,9870,219.333333,0,0,9870,219.333333,690,15.333333,45,9.44E+22,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,4,5,9,6200,6204,6209
357,ANASTASIA.MONK,39,M,S,Financial analyst,College,68638,1,3,1,0,0,0,0,0,0,18,6,857,285.666667,0,0,0,0,0,0,33,11,3,9.29E+22,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Beauty,2,3,1,3211,3213,6178
358,BILLY.ANDERSON,30,M,M,Lawyer,Post College,38569,5,8,1.142857,0,0,1,0.142857,1,0.142857,36,5.142857,6042,863.142857,1019,145.571429,0,0,1019,145.571429,73,10.428571,7,9.29E+22,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,7,9,10,3211,3213,6178
359,BRANDON.MILLER,37,M,S,Not employed,College,47060,1,3,1,0,0,0,0,1,0.333333,5,1.666667,2577,859,0,0,0,0,0,0,11,3.666667,3,9.29E+22,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,4,9,10,3199,3194,3188
360,CHARLIE.CORTEZ,41,F,S,Lawyer,College,64326,1,11,0.733333,0,0,0,0,4,0.266667,60,4,3724,248.266667,0,0,0,0,0,0,124,8.266667,15,9.29E+22,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Home goods,Athletic Shoes,4,9,10,6200,6204,6209
361,CHARLIE.LARTER,32,F,M,Financial analyst,Post College,63433,5,45,2.368421,6,0.315789,15,0.789474,17,0.894737,363,19.105263,33190,1746.842105,10285,541.315789,4264,224.421053,10285,541.315789,739,38.894737,19,9.29E+22,Repeat Buyer,MEDIUM VALUE,MARRIED WOMEN,REPEAT BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,5,9,3211,3213,6178
362,CRAIG.ANDERSON,29,F,S,Pharmacist,College,25093,1,5,0.357143,0,0,0,0,2,0.142857,43,3.071429,3185,227.5,0,0,0,0,0,0,88,6.285714,14,9.29E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Career,Women's Sportwear,4,5,9,3211,3213,6178
363,DUSTIN.HILLORY,42,M,M,Engineer,College,38929,5,4,1,0,0,0,0,0,0,20,5,2576,644,0,0,0,0,0,0,40,10,4,9.29E+22,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Shoes,Accessories,2,3,1,3199,3194,3188
364,GEORGE.HOFFMAN,33,F,U,Private Sector,High School,33929,1,4,0.571429,0,0,0,0,2,0.285714,23,3.285714,1921,274.428571,0,0,0,0,0,0,49,7,7,9.29E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,7,9,10,6200,6204,6209
365,GEORGE.JACKSON,29,F,S,Financial analyst,College,65638,1,26,1.130435,0,0,6,0.26087,4,0.173913,181,7.869565,12314,535.391304,3346,145.478261,0,0,3346,145.478261,364,15.826087,23,9.29E+22,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,VISITOR,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Shoes,Beauty,4,9,10,3211,3213,6178
366,GREGORY.CORTEZ,25,F,S,Lawyer,Post College,69428,1,22,0.814815,0,0,5,0.185185,5,0.185185,162,6,11618,430.296296,2615,96.851852,0,0,2615,96.851852,325,12.037037,27,9.29E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,9,10,3211,3213,6178
367,GREGORY.MILLER,45,F,S,Not employed,High School,30540,1,12,1.714286,0,0,7,1,2,0.285714,79,11.285714,8688,1241.142857,4923,703.285714,0,0,4923,703.285714,164,23.428571,7,9.29E+22,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,ONLINE HIGH VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,4,5,9,3199,3194,3188
368,GREGORY.WILSON,28,M,S,Financial analyst,Post College,42761,1,13,1.3,0,0,3,0.3,5,0.5,73,7.3,8727,872.7,2147,214.7,0,0,2147,214.7,163,16.3,10,9.29E+22,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,VISITOR,INSTORE HIGH VALUE NON OFFER SEEKER,,,Home goods,Athletic Shoes,4,5,9,6200,6204,6209
369,HARVEY.JACKSON,46,F,M,Private Sector,High School,35123,3,10,1,0,0,4,0.4,0,0,64,6.4,5410,541,2646,264.6,0,0,2646,264.6,136,13.6,10,4.79E+21,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,2,3,1,3211,3213,6178
370,HELENA.JACKSON,34,F,S,Engineer,College,48939,1,0,0,0,0,0,0,0,0,7,1.4,0,0,0,0,0,0,0,0,9,1.8,5,3.01E+22,Visitor,HIGH VALUE,HIGH INCOME SINGLE,REPEAT BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Career,Women's Sportwear,7,9,10,3211,3213,6178
371,JESSICA.CORTEZ,29,F,U,Unemployed,High School,16338,1,1,0.142857,0,0,0,0,0,0,18,2.571429,399,57,0,0,0,0,0,0,31,4.428571,7,3.01E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Accessories,4,9,10,3199,3194,3188
372,JESSICA.MILLER,31,F,U,Self Employed,Post College,60126,3,2,1,3,1.5,3,1.5,0,0,16,8,1398,699,1427,713.5,1427,713.5,1427,713.5,36,18,2,3.01E+22,Repeat Buyer,MEDIUM VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE LOW VALUE NON OFFER SEEKER,,,Men's Casual,Furniture,4,9,10,6200,6204,6209
373,JOHN.BARNFIELD,26,F,S,Self Employed,High School,13497,1,2,0.5,0,0,0,0,1,0.25,16,4,1088,272,0,0,0,0,0,0,35,8.75,4,3.01E+22,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Shoes,Beauty,4,5,9,3211,3213,6178
374,MICHAEL.CORTEZ,33,F,S,Professor,Post College,69239,1,11,1,0,0,2,0.181818,3,0.272727,62,5.636364,5209,473.545455,998,90.727273,0,0,998,90.727273,138,12.545455,11,3.01E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,5,9,3211,3213,6178
375,OWEN.BARNFIELD,32,M,U,Professor,College,49515,1,6,1,0,0,4,0.666667,4,0.666667,67,11.166667,2299,383.166667,1476,246,0,0,1476,246,139,23.166667,6,3.01E+22,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,VISITOR,INSTORE HIGH VALUE NON OFFER SEEKER,,,Men's Career,Formal Shoes,2,3,1,3199,3194,3188
376,RICH.BARNFIELD,31,M,S,Pharmacist,Post College,55458,1,9,1,0,0,1,0.111111,6,0.666667,76,8.444444,6996,777.333333,639,71,0,0,639,71,161,17.888889,9,3.01E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Home goods,Athletic Shoes,7,9,10,6200,6204,6209
377,ROBERT.ROBERTS,29,M,S,Nursing,College,33579,1,11,1,0,0,6,0.545455,1,0.090909,89,8.090909,6055,550.454545,3909,355.363636,0,0,3909,355.363636,197,17.909091,11,3.01E+22,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,9,10,3211,3213,6178
378,STEVEN.ROBERTS,31,M,S,Accountant,Post College,66876,1,3,0.5,0,0,0,0,3,0.5,23,3.833333,977,162.833333,0,0,0,0,0,0,38,6.333333,6,3.01E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Career,Women's Sportwear,4,9,10,3211,3213,6178
379,TREVOR.JACKSON,26,M,S,Engineer,Post College,55981,1,24,1,0,0,1,0.041667,5,0.208333,119,4.958333,14056,585.666667,1099,45.791667,0,0,1099,45.791667,242,10.083333,24,3.01E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,VISITOR,ONLINE HIGH VALUE OFFER SEEKER,,,Women's Shoes,Accessories,4,5,9,3199,3194,3188
380,WILLIAM.KLOVES,26,F,U,Engineer,Post College,62134,3,2,0.666667,0,0,0,0,1,0.333333,10,3.333333,798,266,0,0,0,0,0,0,25,8.333333,3,3.01E+22,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Men's Casual,Furniture,4,5,9,6200,6204,6209
381,ANASTASIA.BRINK,36,M,U,Doctor,Post College,90297,1,2,0.666667,1,0.333333,1,0.333333,1,0.333333,10,3.333333,898,299.333333,449,149.666667,449,149.666667,449,149.666667,19,6.333333,3,7.56E+22,Buyer,LOW VALUE,HIGH INCOME FAMILY,REPEAT BUYER,INSTORE LOW VALUE NON OFFER SEEKER,,,Women's Shoes,Beauty,2,3,1,3211,3213,6178
382,BRANDON.ROBERTS,40,M,S,Professor,College,67753,1,9,0.818182,0,0,2,0.181818,3,0.272727,71,6.454545,5291,481,898,81.636364,0,0,898,81.636364,148,13.454545,11,8.56E+22,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,7,9,10,3211,3213,6178
383,CHARLIE.JACKSON,37,F,S,Engineer,College,44747,1,13,0.565217,0,0,1,0.043478,7,0.304348,116,5.043478,5697,247.695652,229,9.956522,0,0,229,9.956522,226,9.826087,23,8.56E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Men's Career,Formal Shoes,4,9,10,3199,3194,3188
384,CHARLIE.STILLER,25,F,U,Doctor,College,30295,1,1,0.25,0,0,0,0,0,0,14,3.5,399,99.75,0,0,0,0,0,0,33,8.25,4,8.87E+22,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Home goods,Athletic Shoes,4,9,10,6200,6204,6209
385,DUSTIN.ANDERSON,36,F,S,Engineer,Post College,46930,1,2,0.5,1,0.25,1,0.25,2,0.5,28,7,1498,374.5,1099,274.75,1099,274.75,1099,274.75,56,14,4,8.87E+22,Buyer,MEDIUM VALUE,MIDDLE INCOME SINGLE,REPEAT BUYER,INSTORE LOW VALUE NON OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,5,9,3211,3213,6178
386,GREGORY.HILLORY,62,F,M,Doctor,College,56733,3,5,1,0,0,0,0,1,0.2,25,5,2745,549,0,0,0,0,0,0,51,10.2,5,8.87E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Women's Career,Women's Sportwear,4,5,9,3211,3213,6178
387,GREGORY.JACKSON,40,F,S,Self Employed,College,50706,1,10,0.454545,0,0,2,0.090909,4,0.181818,79,3.590909,4437,201.681818,678,30.818182,0,0,678,30.818182,165,7.5,22,8.87E+22,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Accessories,2,3,1,3199,3194,3188
388,HELENA.ANDERSON,43,F,M,Engineer,College,79376,4,6,1.2,0,0,3,0.6,3,0.6,55,11,3253,650.6,1346,269.2,0,0,1346,269.2,101,20.2,5,8.87E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,7,9,10,6200,6204,6209
389,JACOB.BARNFIELD,45,F,M,Professor,College,82329,4,3,1.5,0,0,0,0,2,1,12,6,1322,661,0,0,0,0,0,0,23,11.5,2,8.87E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Shoes,Beauty,4,9,10,3211,3213,6178
390,MICHAEL.JACKSON,35,F,M,Doctor,Post College,79526,5,6,0.461538,0,0,0,0,4,0.307692,61,4.692308,2444,188,0,0,0,0,0,0,127,9.769231,13,8.36E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,9,10,3211,3213,6178
